#{"t_start": 1622666921.248959, "env_id": null}
r,l,t
63.870706,13,518.910864
55.340083,11,519.802545
82.880006,15,521.035672
38.696172,8,521.670345
34.486068,8,522.292106
39.369276,8,522.931399
98.236579,17,524.253345
64.188877,14,525.375629
74.041578,16,526.68179
73.76553,15,527.851531
98.55559,20,529.45367
89.047459,19,530.977571
54.30204,12,531.946423
64.10342,14,533.106461
68.827009,13,534.170716
44.339711,9,534.887651
49.330308,11,535.764063
69.101982,15,536.979798
54.028176,11,537.84932
49.223647,10,538.665876
113.45653,23,540.567195
44.212087,9,541.305725
39.365271,8,541.960147
71.424532,13,543.018981
49.410864,11,543.882544
44.360142,9,544.59896
109.130005,20,546.180098
78.057788,15,547.376753
51.437468,11,548.243209
54.187132,11,549.124458
138.257875,29,551.302936
34.427639,7,551.865638
48.693934,10,552.672696
52.172649,11,553.541859
39.413618,9,554.26026
64.127815,14,555.342228
83.741504,18,556.74082
99.66359,19,558.21544
69.109492,15,559.43551
39.477507,9,560.159612
48.481292,9,560.874006
73.411912,15,562.090946
81.073451,17,563.40047
39.350236,8,564.047605
54.165706,11,564.932417
64.16005,13,565.952981
49.363237,11,566.838963
34.365837,7,567.471718
34.329773,7,568.051038
53.699174,11,568.942497
54.17488,12,569.883426
44.265513,10,570.715736
54.217848,12,571.675651
85.706016,14,572.780881
39.445795,9,573.524868
59.106946,13,574.515075
34.396318,7,575.076345
44.401022,10,575.878001
59.218237,13,576.921705
56.897288,11,577.780788
49.276178,10,578.592516
69.119053,15,579.809464
69.151095,14,580.929116
61.261709,13,581.959525
39.302712,8,582.615385
63.983012,13,583.641277
157.063661,32,586.145336
68.046426,12,587.122748
58.94155,12,588.073193
63.87458,13,589.133322
39.33155,8,589.775532
44.358773,9,590.502952
54.140639,12,591.499935
34.392547,7,592.067738
44.339292,9,592.792413
63.29762,12,593.7549
78.563446,14,594.878318
49.393156,11,595.754918
63.179129,12,596.739914
118.394971,25,598.699782
49.221555,11,599.576349
54.343122,12,600.538483
39.339803,8,601.215215
57.6155,11,602.110599
49.172913,11,602.98337
69.173594,15,604.17681
64.544832,12,605.16988
74.024114,15,606.415283
76.9476,13,607.464231
39.399332,8,608.120469
34.366316,7,608.684925
34.380805,7,609.248614
39.371197,8,609.910079
39.50706,9,610.635622
44.215642,9,611.3663
68.982802,14,612.53792
59.06272,13,613.599641
34.387524,7,614.175385
29.440332,6,614.672232
60.399729,12,615.626942
43.782581,9,616.343591
52.798022,9,617.074692
48.601484,10,617.884295
73.844964,16,619.164806
34.431056,7,619.743214
59.003116,12,620.724535
44.346693,10,621.53866
113.87854,21,623.213273
34.32882,7,623.780389
44.363183,10,624.598119
58.961985,12,625.55411
49.160586,10,626.375707
63.872517,13,627.398076
49.409867,11,628.289396
105.627859,20,629.867058
58.361998,11,630.748073
53.482039,11,631.664438
58.049511,11,632.588997
59.185903,13,633.613637
39.301106,8,634.270305
54.15967,12,635.214616
44.32913,9,635.924648
58.575478,12,636.899137
93.217678,14,638.010155
49.243099,11,638.891694
44.139396,9,639.609025
49.416749,11,640.464384
44.360866,9,641.193141
49.190341,10,641.996441
46.104249,9,642.714358
67.354994,14,643.783996
54.103913,11,644.665285
64.919045,12,645.618922
63.981335,14,646.716262
54.1347,12,647.647167
49.231496,10,648.452024
34.351057,7,649.016193
